SCORE_CUSTOMER_XID;TRN_DT;TRN_AMT;SIC_CD;NUM_POS;NUM_REASON
5335160884389472;2024-05-19T11:44:01.000000;272.17;4225;01;491
5335165270553472;2024-05-30T19:25:23.000000;160.25;6671;81;000
5335162460819462;2024-05-04T16:51:43.000000;109.12;0919;07;000
5335169693977920;2024-06-11T03:02:56.000000;33.13;7830;01;000
5335166468477710;2024-06-30T00:38:33.000000;47.09;3618;01;081
5335161189193115;2024-04-16T01:09:34.000000;229.3;7498;07;000
5335160670431576;2024-05-30T04:40:02.000000;42.88;3557;05;000
5335164010043178;2024-06-13T10:51:47.000000;132.5;9308;01;000
5335165527371008;2024-07-04T19:16:01.000000;74.77;9550;07;000
5335163100713193;2024-06-21T19:22:08.000000;70.24;1326;01;025
5335166854827320;2024-07-31T19:31:02.000000;20.95;5339;81;000
5335163538190860;2024-07-09T04:48:15.000000;207.35;2735;81;000
5335161680124711;2024-07-08T20:35:46.000000;129.3;2066;01;000
5335166847294216;2024-06-08T20:53:07.000000;145.31;0623;90;000
5335162558034741;2024-04-13T19:35:25.000000;30.89;9439;05;000
5335169098548613;2024-06-16T18:25:16.000000;269.41;8768;05;000
5335161987600670;2024-07-17T22:26:57.000000;161.52;9231;05;000
5335160555715890;2024-04-26T09:27:51.000000;41.26;7750;10;000
5335166877441842;2024-05-05T19:25:36.000000;12.67;1270;10;000
5335168922223942;2024-06-24T04:58:19.000000;223.11;9486;05;000
5335165909385319;2024-04-24T03:31:22.000000;164.62;1494;05;000
5335160387396448;2024-04-04T19:02:02.000000;164.61;2386;81;000
5335162274512035;2024-06-29T02:09:08.000000;208.31;8573;05;000
5335169831032172;2024-05-21T06:01:58.000000;129.06;0792;07;798
5335166616121787;2024-05-14T05:02:11.000000;37.04;9683;10;000
5335167135102086;2024-05-24T20:28:56.000000;205.32;4840;05;000
5335162983555859;2024-07-30T17:40:25.000000;259.48;9689;05;000
5335163873557291;2024-06-20T00:25:33.000000;266.51;0204;01;000
5335167931529015;2024-04-06T17:24:04.000000;197.45;1975;10;000
5335167211972679;2024-06-13T14:19:20.000000;128.77;5959;90;000
5335161117591987;2024-06-01T06:04:47.000000;77.22;0069;01;000
5335168366624995;2024-07-26T08:12:23.000000;71.66;9491;01;000
5335166925397998;2024-05-26T05:26:01.000000;199.88;6959;10;000
5335165372763628;2024-04-26T14:42:06.000000;229.82;9321;81;000
5335160444917991;2024-06-23T10:04:47.000000;153.49;3892;81;000
5335164268357980;2024-06-16T20:14:58.000000;242.71;5238;10;138
5335169362352463;2024-04-18T20:39:12.000000;139.88;2606;90;000
5335169101942932;2024-06-14T13:07:30.000000;46.64;7624;10;767
5335161219926635;2024-07-09T22:04:47.000000;277.99;0218;01;000
5335160962420328;2024-06-30T09:16:08.000000;209.01;9633;81;000
5335168708528349;2024-06-07T14:37:40.000000;43.41;0391;07;000
5335161280183044;2024-07-09T04:29:03.000000;152.69;3472;05;000
5335162210761376;2024-04-27T04:34:15.000000;179.26;7775;01;000
5335166346646408;2024-05-23T18:30:52.000000;229.06;3182;07;000
5335167845584748;2024-07-07T10:18:14.000000;1.63;2008;05;000
5335161727830539;2024-04-13T18:35:17.000000;90.87;2865;07;000
5335163708456150;2024-07-13T11:36:32.000000;176.66;0893;81;000
5335169666610030;2024-06-19T19:40:29.000000;11.63;6023;10;000
5335168555745013;2024-04-02T01:15:09.000000;94.69;2254;01;081
5335160360262025;2024-06-16T21:33:46.000000;85.15;5309;01;000
5335161007433387;2024-07-04T03:56:23.000000;182.66;5695;90;000
5335169559721028;2024-07-16T02:30:17.000000;28.06;3180;81;359
5335166455616029;2024-06-29T21:33:41.000000;265.66;6049;05;000
5335166707090485;2024-04-17T12:42:31.000000;263.65;1793;07;000
5335165505709708;2024-05-09T22:02:30.000000;209.53;4275;10;000
5335164212208704;2024-07-31T22:06:32.000000;60.84;8214;81;000
5335168525639853;2024-05-17T12:12:51.000000;108.61;2307;01;037
5335160297028218;2024-07-11T02:15:30.000000;114.36;5563;05;000
5335161688122657;2024-06-15T13:46:02.000000;265.39;5956;10;048
5335163296885525;2024-05-10T12:42:25.000000;194.7;2098;81;000
5335166975172641;2024-05-30T15:26:32.000000;180.67;6764;05;000
5335168487868736;2024-05-14T07:27:34.000000;147.62;6321;01;000
5335167915834840;2024-05-26T15:08:26.000000;30.58;3810;90;000
5335168450920591;2024-07-12T06:09:05.000000;120.76;3995;01;000
5335162612757582;2024-04-23T18:11:25.000000;136.68;7034;90;000
5335168449421736;2024-04-28T07:15:00.000000;108.95;0617;10;275
5335160007953574;2024-06-30T06:53:46.000000;160.08;3699;10;000
5335168768614905;2024-07-02T05:06:47.000000;253.87;0881;05;000
5335162576901258;2024-05-10T23:36:17.000000;172.99;2363;90;481
5335167992823028;2024-07-30T01:23:16.000000;178.21;1489;01;000
5335163515250826;2024-06-17T19:18:19.000000;46.84;8675;10;731
5335165273746632;2024-06-10T05:41:24.000000;103.5;6633;07;000
5335168414839910;2024-05-10T10:02:56.000000;93.8;1024;10;000
5335161040250292;2024-06-28T23:31:17.000000;86.84;2486;05;000
5335163116453268;2024-04-02T02:19:09.000000;203.76;7435;90;000
5335166849108499;2024-05-22T14:34:06.000000;119.73;6027;05;000
5335167441894625;2024-07-29T00:29:48.000000;79.79;8905;07;000
5335162949177886;2024-05-31T13:13:13.000000;269.28;5749;81;000
5335163337792782;2024-04-26T11:28:54.000000;192.85;4772;07;000
5335163822344768;2024-07-16T19:43:16.000000;53.05;1519;01;000
5335164883318336;2024-06-22T17:15:37.000000;45.17;9703;07;000
5335166212645040;2024-07-02T06:44:20.000000;210.63;6035;10;828
5335160128307305;2024-07-04T23:01:10.000000;124.94;3525;90;000
5335169990415660;2024-07-28T03:49:46.000000;241.7;6571;01;000
5335167077325563;2024-05-19T12:06:05.000000;239.02;7957;10;000
5335163606223103;2024-06-11T04:51:50.000000;242.09;6153;90;000
5335164381422449;2024-06-19T23:34:11.000000;91.92;9026;07;000
5335166697468698;2024-05-13T13:54:13.000000;25.58;0961;05;000
5335160410167061;2024-04-16T11:38:49.000000;257.59;1053;05;887
5335166487134106;2024-06-29T01:48:49.000000;176.66;8806;01;309
5335165940209968;2024-04-13T06:03:46.000000;44.1;4969;07;000
5335166098287447;2024-06-08T19:55:59.000000;37.08;1887;07;000
5335162412594103;2024-07-17T11:07:24.000000;195.46;7366;01;000
5335164716529854;2024-04-17T01:09:07.000000;71.72;5051;90;000
5335165370395057;2024-07-30T04:29:27.000000;124.14;1854;05;000
5335166511390685;2024-07-01T23:35:42.000000;106.8;0817;90;862
5335169854564629;2024-04-03T19:58:37.000000;252.8;1082;07;000
5335162123090831;2024-07-19T06:42:12.000000;44.77;0940;10;000
5335160750531563;2024-07-11T00:10:21.000000;110.95;6300;01;389
5335163407150129;2024-07-13T07:47:07.000000;62.78;0318;01;000
5335164835159832;2024-05-09T13:57:45.000000;50.53;5127;10;000
5335165673542770;2024-04-08T04:41:35.000000;223.73;9055;01;774
5335162590798089;2024-06-17T23:06:23.000000;64.88;8822;10;187
5335166301056893;2024-07-26T11:43:25.000000;1.68;4920;90;000
5335169656619252;2024-04-28T04:51:25.000000;100.0;9293;90;032
5335169528684058;2024-05-08T10:58:33.000000;38.78;1467;10;000
5335166625317762;2024-05-05T21:55:40.000000;115.92;9229;10;000
5335161999756159;2024-04-21T11:18:03.000000;36.83;1569;07;000
5335164221819074;2024-06-15T19:53:09.000000;273.26;7146;81;000
5335167452632308;2024-05-27T01:19:01.000000;262.57;7503;10;186
5335163635952190;2024-05-05T05:32:20.000000;228.51;0159;10;000
5335165068725350;2024-05-23T00:35:32.000000;104.51;3888;05;000
5335164260616123;2024-05-10T10:57:26.000000;87.35;8227;07;000
5335169225145373;2024-06-05T00:53:08.000000;175.8;6411;05;000
